tpl_uuid,tpl_name
0b258e30cb9b4aa8a88d99eff23618d7,blackhole
0b2b661f82d448c6ae4bbbba8fc5cf8f,textractor
0b2d9cbd1ded4ef584a108ed423fa8fc,OpenMS
0b30411b33074d8dbe09e19066f35313,leocad
0b323dd53a0343f0a074a54be107df7a,wmcube
0b3a404e06f74cdaba904e34899c170a,cutechess
0b3b063cc4084534bf41986c25b6173c,chaiscript
0b43c1260e2b474ba777c07cfe196604,navigation
0b6e05906ee14353a83a8c927eebdcdd,rpi-webrtc-streamer
0b7508c20e7d40d2ac68468c52c994a4,xinetd
0b79522200e140968ebc3dd31df66bf0,fasttree
0b7f21f1eeac4aefbe180882c9e0db5c,spotmicro
0b85efe075c549ffa08460bee582ea1a,hat-trie
0b8cbcb884de451ab3b3430e6f11cc77,edgetpu
0b8ee8236a4a485899c616d2ca2687ed,platform_system_core
0b909b20c9134eb79c267063330f72b4,neo-ai-dlr
0b93da11464348e489df2e07671c33e9,mypaint
0ba0ce4b2f88435dbfcdca6015603708,gbox
0ba5a3e41d264452bfb171833b349987,vim.js
0bb16e96fdd04c94a98a7edeb7381282,nsfw
0bb4cfe42e9f491fb42b825250cb873f,rumur
0bb6edc57f5048ccaff0ebc893503e7a,python-midi
0bbc06013f764fec8da34fc2e89691af,tpm2-abrmd
0bd5ca7ebbfc4724bcf24f8d24fd2fce,mtr
0bdccf34824747609cd94d818e8504b9,Pgtcl
0bdcf005be77440a9782a01f5f5f73d5,ramcloud
0bdfc504dd214d9aaa7ce5eaef877b86,weborf
0be3a77ce67d4d4fba9f08011d9df48e,mptcp
0be55d0570b949939974b0516091b5f7,kismet
0bf05b9609f34151a4a5ee412c526f30,sdl
0bf56c9ea34847c2b3793642794ba6ec,bitz-server
0bfe0269b323414a841d5bb3bcbb54e5,fatal
0c02459f434e4626809dfa329b0b6801,node-imagemagick-native
0c0f579e8d4e42889412d9034a42a14f,ut
0c1aa02a59f04cc7918c91a76c794a3e,simple2d
0c1f0b5ba1994ce89fdc38775fcd3241,efi-memory
0c2adebc39d2465d8c855fcad57a4f1e,mesen-s
0c2da120a98d4161815dfd070b164c2b,sequel_pg
0c3119f0c5144f309c1958899c715552,vdr-plugin-remote
0c383955e1054a5f984df99d5fc6d089,parcellite
0c49e93dbe854d5faf3f29bf995b2436,gv
0c4ca81d1629412e8ee2f66557899e48,f2fs-tools
0c513f65026e4869ac81d1e013d0f8f5,darkice
0c5703d4988e4a42b3c363ed6b9bdd08,auto-unlocker
0c653841611f4169a649ee45d1e3e2a2,lucaschess
0c6e9fde3fe74ed7bad0a6f2ac2466db,ngx-fancyindex
0c79ee9e71824be1b1c00458f69fe711,xylib
0c7a075326fd4a9c8dfdf083cbf18f12,atk
0c7a693f103147d8864a8197b3690725,tera
0c7f9d04f8be4046a50516bb24b49b51,go-sqlite-lite
0c8d25e11a0c43c3bab24f17fe36d250,zesarux
0c909825482040b490305a224a822ac9,phc-winner-argon2
0ca16f7de8734f34988572bbcc450bda,kissdb
0ca312b284264de0a62570c91bfd19d9,percona-server
0cb3ce1ceb0b4e20a505248219371a9b,fbneo
0cbd2d512b3b49dcb204525b33b1f168,qjson
0cc4b0eba72a4b2295cd59beaf2b007c,shadowsocks-libev
0ccfda0cb9624d7b82e2271059510d38,delaunay-triangulation
0cd64b29ba2b4dadb9fb99ad1f0d8354,sqlean
0ce75f9704d64890801e3737c31a814d,zathura
0ce9adc0958c4b1988cae7d5ad84d5bb,gffread
0cef1e2840e34540befa1587c2160a8d,openmw
0cf9aa9cd30f467a9388b049d210b67e,echoprint-codegen
0cfadb15ed4b4bb4b9bdd6cad03ca08e,guacamole-server
0cfef0c1b26d4ff6a35f0487475babda,hana
0d02c1e594cd44d2b05fddb88b5bc094,cjsonobject
0d0bbb248b464486bd4ef69de21d635c,wal2json
0d15b434d3264eb69b120dd4f41b63ed,esp-lisp
0d1c5381800242a89c819fef1b53cfde,jzmq
0d1c53f011dd4265a1580adecd8f8241,libfive
0d1de12989ae461780458462d2b6f7a3,vulkanmemoryallocator
0d1e3f37a61c4f4b94b88d8637c731ea,bti
0d30cbf72d8440b39fbab1a195d146f5,gcanvas
0d3b8ffb300d40748930f25dc1bf47b5,balde
0d405e6aef764121b94bc13bae2e5371,coturn
0d44092b9a2a4f6290423443a85f2dbd,a2jmidid
0d462f62c9a14fc0a6712ae19623adad,heltec_esp32
0d4e8522a8ad4c5fa0ed4b33e78bf1a4,retroesp32
0d54b216060849f6b90be8f5aedad886,mpeg2dec
0d60c18221004466988cf98e06460828,lovr
0d6531536e8c420487aba766c56a2d28,tnftp
